,Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
109,ec:2.7.2.2,,ec:1.2.7.1,,ec:1.8.99.5,ec:1.1.1.6,,,ec:2.7.7.1,,,,
110,ec:2.7.1.31,,ec:4.1.2.40,,ec:1.4.7.1,ec:1.6.1.1,,,ec:2.1.1.107,,,,
111,ec:3.5.1.5,,ec:2.4.1.12,,ec:1.10.2.2,ec:1.14.13.39,,,ec:4.1.2.25,,,,
112,ec:2.7.2.11,,ec:4.1.2.43,,ec:1.10.9.1,ec:1.3.1.12,,,ec:2.8.1.12,,,,
113,ec:1.3.8.1,,ec:4.2.1.47,,ec:1.7.1.1,ec:1.2.4.1,,,ec:3.5.1.10,,,,
114,ec:4.1.3.27,,ec:2.7.9.2,,ec:1.8.99.2,ec:1.13.11.27,,,ec:4.99.1.11,,,,
115,ec:4.1.1.15,,ec:2.7.1.59,,,ec:1.1.1.170,,,ec:2.1.1.201,,,,
116,ec:4.1.1.48,,ec:3.1.3.70,,,ec:1.4.3.22,,,ec:1.4.3.5,,,,
117,ec:2.5.1.16,,ec:5.4.2.11,,,ec:1.3.1.93,,,ec:1.1.1.302,,,,
118,ec:3.5.4.19,,ec:2.7.1.144,,,ec:1.1.1.211,,,ec:2.6.1.5,,,,
119,ec:3.6.1.31,,ec:3.2.1.67,,,ec:1.1.1.102,,,ec:1.2.1.72,,,,
120,ec:5.3.1.23,,ec:4.1.1.39,,,ec:1.14.13.122,,,ec:2.8.1.9,,,,
121,ec:3.5.2.7,,ec:1.1.1.41,,,ec:1.13.11.20,,,ec:1.14.14.1,,,,
122,ec:2.1.2.10,,ec:2.7.1.15,,,ec:1.1.98.6,,,ec:4.1.1.98,,,,
123,ec:1.1.1.103,,ec:3.5.1.9,,,ec:1.17.1.4,,,ec:6.2.1.14,,,,
124,ec:3.5.1.47,,ec:4.3.1.2,,,ec:1.14.17.4,,,ec:1.3.1.2,,,,
125,ec:5.4.2.11,,ec:4.2.1.32,,,ec:1.14.19.20,,,ec:2.5.1.74,,,,
126,ec:4.3.1.18,,ec:2.4.1.7,,,ec:1.14.99.1,,,ec:2.1.1.114,,,,
127,ec:5.3.1.24,,ec:4.2.1.3,,,ec:1.3.1.95,,,ec:2.1.1.64,,,,
128,ec:1.4.1.1,,ec:3.5.1.10,,,ec:1.13.11.54,,,ec:3.6.1.15,,,,
129,ec:2.1.1.14,,ec:2.7.1.1,,,ec:1.14.14.17,,,ec:6.3.3.3,,,,
130,ec:4.1.1.50,,ec:2.4.1.82,,,ec:1.6.99.3,,,ec:4.2.99.20,,,,
131,ec:2.7.1.39,,ec:4.2.1.130,,,ec:1.14.18.9,,,ec:4.6.1.17,,,,
132,ec:1.2.1.88,,ec:4.1.3.1,,,ec:1.1.1.305,,,ec:1.6.1.1,,,,
133,ec:2.7.1.100,,ec:2.4.1.15,,,ec:2.1.2.13,,,ec:2.4.2.12,,,,
134,ec:3.5.3.1,,ec:1.1.5.2,,,ec:1.13.11.12,,,ec:4.99.1.4,,,,
135,ec:3.5.1.9,,ec:1.11.1.11,,,ec:1.2.3.1,,,ec:1.13.11.27,,,,
136,ec:2.3.1.247,,ec:4.2.1.12,,,ec:1.13.11.5,,,ec:4.1.3.40,,,,
137,ec:2.6.1.76,,ec:2.4.1.34,,,ec:2.1.1.95,,,ec:4.99.1.1,,,,
138,ec:2.3.1.117,,ec:4.1.1.31,,,ec:1.1.1.45,,,ec:1.14.13.122,,,,
139,ec:3.1.3.3,,ec:4.4.1.5,,,ec:1.14.11.9,,,ec:6.6.1.1,,,,
140,ec:4.4.1.11,,ec:3.2.1.2,,,ec:2.1.1.10,,,ec:1.6.5.2,,,,
141,ec:2.1.1.43,,ec:1.1.1.28,,,ec:2.1.1.68,,,ec:3.5.1.6,,,,
142,ec:2.6.1.5,,ec:3.2.1.28,,,ec:1.3.3.4,,,ec:6.3.2.5,,,,
143,ec:6.3.2.3,,ec:1.1.1.316,,,ec:1.1.1.195,,,ec:2.3.1.37,,,,
144,ec:1.4.1.14,,ec:3.2.1.14,,,ec:1.8.99.5,,,ec:4.1.3.38,,,,
